Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,Telefone,Morada,CódigoPostal,DataNascimento,Email
Petra Pereira,Gestor de Projetos,Divorciado,Feminino,Braga,Vizela,948368169,"Largo Sousa, 991
4466-665 Montemor-o-Novo",9469-010,06/04/1966,petra.pereira@hotmail.com
Fabiana Freitas-Batista,Psicólogo,Viúvo,Feminino,Braga,Vila Nova de Famalicão,930131769,"Alameda Gabriel Nascimento, 36
6041-502 Macedo de Cavaleiros",5641-102,27/01/1979,fabiana.freitas-batista@outlook.com
Lia Lima,Médico,Divorciado,Feminino,Coimbra,Montemor-o-Velho,923536297,"Rua Violeta Marques, 89
6417-351 Amora",8649-531,06/06/1969,lia.lima@hotmail.com
Flor Marques,Médico,Viúvo,Feminino,Guarda,Sabugal,986132572,"R. Ribeiro, 24
3440-564 Angra do Heroísmo",2944-764,05/01/1991,flor.marques@yahoo.com
Henrique Moreira,Designer Gráfico,Viúvo,Masculino,Braga,Braga,985830612,"Avenida Brito, 21
4603-019 Bragança",6366-014,13/10/2003,henrique.moreira@sapo.pt
Benjamim da Pacheco,Enfermeiro,Divorciado,Masculino,Braga,Barcelos,938233695,"Largo Bruno Cardoso, 492
1715-040 Moura",4982-136,04/02/1983,benjamim.pacheco@yahoo.com
Mafalda Neves,Advogado,Viúvo,Feminino,Porto,Matosinhos,936913291,"R. Arquitecto Carlos Ramos, 117
7741-762 Amadora",4864-019,13/03/1998,mafalda.neves@hotmail.com
Isaac Barbosa,Engenheiro,Solteiro,Masculino,Braga,Celorico de Basto,998888635,"Avenida Monteiro, 61
8553-986 Espinho",3430-857,11/03/2003,isaac.barbosa@hotmail.com
Filipe Henriques,Farmacêutico,Solteiro,Masculino,Viana do Castelo,Vila Nova de Cerveira,974052206,"Rua Alice Cruz, 78
8373-732 Évora",4427-105,18/11/1966,filipe.henriques@outlook.com
Simão Coelho-Abreu,Comerciante,Solteiro,Masculino,Coimbra,Coimbra,994012334,"Alameda de Viterbo de Campos, 56
2091-552 Funchal",0778-371,16/12/1989,simão.coelho-abreu@hotmail.com
Kévim Andrade,Aposentado,Divorciado,Masculino,Braga,Amares,948621902,"Praça de Maceda, 611
5847-278 Estremoz",3159-727,19/09/1960,kévim.andrade@outlook.com
Brian Batista,Estudante,Viúvo,Masculino,Braga,Guimarães,974043066,"Largo de Sobre-o-Douro, S/N
6999-606 Funchal",6069-678,14/07/2003,brian.batista@outlook.com
Lucas Lima,Carpinteiro,Solteiro,Masculino,Braga,Barcelos,991950853,"Praça da Asprela, 1
0061-747 Horta",7251-772,08/01/1969,lucas.lima@hotmail.com
Erika Freitas,Analista de Dados,Viúvo,Feminino,Braga,Esposende,999396091,"Avenida de Coelho, S/N
4585-270 Abrantes",1819-336,07/07/1970,erika.freitas@outlook.com
Júlia Miranda,Cozinheiro,Solteiro,Feminino,Lisboa,Alenquer,959964417,"R. Iara Pereira, 14
6574-521 Tondela",3779-521,16/01/1967,júlia.miranda@hotmail.com
André Pacheco,Designer Gráfico,Viúvo,Masculino,Guarda,Fornos de Algodres,950804001,"Rua Ribeiro, 34
2568-024 Rio Tinto",0545-354,05/05/1988,andré.pacheco@hotmail.com
Júlia Nascimento,Técnico de Marketing,Solteiro,Feminino,Braga,Vizela,951022104,"Rua Pequeno, 5
4462-366 Olhão",0152-059,23/02/1990,júlia.nascimento@hotmail.com
Luísa Andrade,Contabilista,Divorciado,Feminino,Aveiro,Anadia,987644071,"Travessa de Freitas, 44
9981-141 Espinho",6155-586,16/09/2003,luísa.andrade@sapo.pt
Alícia Esteves,Médico,Divorciado,Feminino,Vila Real,Mesão Frio,930340744,"Largo de Pinho, S/N
9614-393 Santa Comba Dão",2670-138,25/10/1969,alícia.esteves@sapo.pt
Bernardo de Simões,Aposentado,Divorciado,Masculino,Braga,Braga,923306146,"Travessa de Pereira, S/N
9498-368 Peniche",0768-736,16/06/1947,bernardo.simões@hotmail.com
Teresa Mota,Designer Gráfico,Viúvo,Feminino,Viana do Castelo,Ponte da Barca,941074691,"Praça Isabel Alves, S/N
6996-218 Lamego",2387-447,02/10/1994,teresa.mota@outlook.com
Violeta Alves,Estudante,Casado,Feminino,Braga,Cabeceiras de Basto,952822597,"Praça Matos, 46
4438-291 Valongo",8771-673,28/02/2005,violeta.alves@outlook.com
Mia Lopes,Carpinteiro,Solteiro,Feminino,Porto,Porto,977773828,"Avenida Lourenço Rodrigues, S/N
2835-074 Fundão",2328-585,22/09/1984,mia.lopes@gmail.com
Vítor Matias-Ramos,Eletricista,Solteiro,Masculino,Braga,Braga,958661986,"Largo Lopes, S/N
1844-644 Braga",2561-838,10/05/1996,vítor.matias-ramos@hotmail.com
Valentim Moreira,Rececionista,Solteiro,Masculino,Porto,Póvoa de Varzim,937590729,"Avenida de Henriques, S/N
7344-988 Vila Real de Santo António",8229-678,01/06/1993,valentim.moreira@sapo.pt
Letícia Azevedo-Gaspar,Comerciante,Solteiro,Feminino,Viana do Castelo,Valença,906702319,"R. de Pinho, 4
9799-847 Pinhel",0482-871,03/12/1995,letícia.azevedo-gaspar@yahoo.com
Emma-Daniela Pinho,Eletricista,Viúvo,Feminino,Braga,Vizela,929450602,"Alameda Benedita Maia, 56
1837-152 Odivelas",5434-336,04/04/1990,emma-daniela.pinho@hotmail.com
Eduarda Brito,Psicólogo,Divorciado,Feminino,Braga,Esposende,948395673,"Travessa Juliana Mota, S/N
6729-908 Trofa",5956-521,02/05/1995,eduarda.brito@sapo.pt
Ângelo Paiva,Médico,Solteiro,Masculino,Viseu,Carregal do Sal,950103384,"Rua de Henriques, 9
6058-422 Mealhada",2763-736,13/01/1982,ângelo.paiva@hotmail.com
Álvaro do Pereira,Agricultor,Casado,Masculino,Braga,Guimarães,988837695,"Rua Constança Brito, 804
4661-859 Peso da Régua",6709-917,09/03/1990,álvaro.pereira@hotmail.com
Irina Almeida,Engenheiro,Casado,Feminino,Setúbal,Alcácer do Sal,994345394,"Rua do Prof. Hernâni Monteiro, S/N
7345-901 Vendas Novas",4143-606,18/10/1985,irina.almeida@sapo.pt
Mateus da Borges,Comerciante,Viúvo,Masculino,Braga,Celorico de Basto,900655743,"Av de Andrade, 48
0957-615 Angra do Heroísmo",1741-053,14/11/1971,mateus.borges@outlook.com
Sofia Almeida,Programador,Viúvo,Feminino,Vila Real,Sabrosa,929670646,"R. de Gomes, 47
4257-354 Quarteira",4319-716,30/06/1980,sofia.almeida@yahoo.com
Micael Alves,Carpinteiro,Viúvo,Masculino,Braga,Guimarães,928611591,"Avenida de Borges, 8
7647-642 Felgueiras",2706-997,30/04/1985,micael.alves@gmail.com
Manuel Correia,Agricultor,Casado,Masculino,Porto,Valongo,964959643,"Largo de Lourenço, 94
0656-998 Fafe",4014-107,12/08/1981,manuel.correia@sapo.pt
Renato Guerreiro-Leite,Analista de Dados,Casado,Masculino,Coimbra,Cantanhede,916971229,"Praça de Neves, 9
7479-950 Barcelos",4379-365,05/05/1981,renato.guerreiro-leite@gmail.com
Kelly-Matilde Branco,Designer Gráfico,Solteiro,Feminino,Braga,Esposende,906801716,"Praça de Baptista, 719
1578-229 Moura",8935-233,07/01/1980,kelly-matilde.branco@outlook.com
Kévim Moreira,Rececionista,Solteiro,Masculino,Braga,Braga,947158256,"Travessa do Machado, S/N
7475-424 Agualva-Cacém",7246-551,22/11/1976,kévim.moreira@gmail.com
Fernando Costa,Engenheiro,Divorciado,Masculino,Braga,Braga,932163348,"Alameda de Vaz, 7
1618-630 Costa da Caparica",5216-060,08/09/1998,fernando.costa@yahoo.com
Inês Soares,Enfermeiro,Casado,Feminino,Braga,Amares,968282210,"Rua do Prof. Egas Moniz, S/N
2858-650 Ermesinde",6237-448,27/11/2002,inês.soares@gmail.com
Leonardo Amaral,Motorista,Casado,Masculino,Aveiro,Murtosa,941813404,"Largo Valentina Amaral, 552
2221-850 Seia",1692-959,27/11/1989,leonardo.amaral@hotmail.com
Tatiana-Alexandra Pereira,Analista de Dados,Casado,Feminino,Braga,Amares,932334401,"Travessa Rodrigues, 20
6706-244 Ponta Delgada",2313-962,19/05/1993,tatiana-alexandra.pereira@sapo.pt
Mara Batista-Alves,Cozinheiro,Divorciado,Feminino,Porto,Valongo,979127577,"Avenida do Rosário, 654
9670-922 Ermesinde",4710-141,23/03/1993,mara.batista-alves@sapo.pt
José Leal,Contabilista,Viúvo,Masculino,Braga,Esposende,923267913,"Avenida Kyara Barbosa, 63
5396-268 Pombal",9272-634,06/04/1981,josé.leal@outlook.com
Letícia Domingues,Designer Gráfico,Divorciado,Feminino,Viana do Castelo,Viana do Castelo,994725802,"Rua Ernesto Veiga de Oliveira, 88
6500-797 Albufeira",6780-588,14/08/1998,letícia.domingues@gmail.com
Simão Matos-Nogueira,Empregado de Limpeza,Divorciado,Masculino,Braga,Vizela,916632938,"Praça Pacheco, 37
9811-666 Pombal",1694-055,30/03/1984,simão.matos-nogueira@yahoo.com
Afonso Fonseca,Programador,Viúvo,Masculino,Castelo Branco,Penamacor,911042680,"Avenida de Silva, 6
7988-761 Amora",3564-015,08/05/2002,afonso.fonseca@sapo.pt
Lorena Azevedo,Professor,Divorciado,Feminino,Braga,Braga,964382991,"Alameda de Teófilo Braga, 50
9715-774 Tavira",3972-469,01/09/1983,lorena.azevedo@sapo.pt
Tatiana Magalhães,Enfermeiro,Divorciado,Feminino,Coimbra,Condeixa-a-Nova,992818285,"Avenida do Recanto, 96
6661-843 Praia da Vitória",9902-024,10/11/1976,tatiana.magalhães@sapo.pt
Erica-Letícia Reis,Enfermeiro,Casado,Feminino,Porto,Amarante,930456213,"Rua Santiago Faria, S/N
6976-296 Torres Novas",6856-908,10/11/1974,erica-letícia.reis@sapo.pt
Yasmin Alves,Agricultor,Viúvo,Feminino,Braga,Vila Nova de Famalicão,916915196,"Praça de S. Francisco de Borja, 59
2352-621 Paços de Ferreira",5937-459,01/02/2003,yasmin.alves@yahoo.com
Andreia Ribeiro,Eletricista,Divorciado,Feminino,Porto,Porto,972203047,"Rua Correia, 3
5688-172 Castelo Branco",3964-002,17/07/2000,andreia.ribeiro@sapo.pt
Patrícia Valente,Programador,Casado,Feminino,Braga,Guimarães,942030876,"R. Alexandre Martins, 16
0371-810 Vila Real",1303-169,04/03/1990,patrícia.valente@yahoo.com
Ana Oliveira,Designer Gráfico,Viúvo,Feminino,Porto,Vila Nova de Gaia,975399408,"Travessa República da Colômbia, 27
3528-927 Marco de Canaveses",3015-661,09/12/1971,ana.oliveira@hotmail.com
Gaspar Figueiredo,Analista de Dados,Divorciado,Masculino,Aveiro,Murtosa,964764925,"Av de Simões, 931
6778-098 Santa Cruz",1012-931,23/01/1996,gaspar.figueiredo@gmail.com
Carlos Faria,Aposentado,Solteiro,Masculino,Bragança,Vinhais,938550532,"Praça Rafaela Barros, S/N
7666-592 Portalegre",3676-641,22/04/1951,carlos.faria@yahoo.com
Igor Miranda,Analista de Dados,Divorciado,Masculino,Porto,Amarante,912140264,"Praça Andrade, 99
2980-545 Figueira da Foz",8995-467,25/08/1967,igor.miranda812@yahoo.com
Dinis Macedo,Engenheiro,Viúvo,Masculino,Santarém,Coruche,926650568,"Travessa Rocha, 23
9086-336 Amadora",4593-857,18/09/1991,dinis.macedo@sapo.pt
Filipa Campos-Vicente,Contabilista,Viúvo,Feminino,Braga,Braga,908071696,"Largo Branco, 48
5197-703 Santo Tirso",3374-617,07/03/1999,filipa.campos-vicente@sapo.pt
Diana Marques,Estudante,Solteiro,Feminino,Braga,Guimarães,927832787,"Avenida de Azevedo, 79
3775-015 Portimão",7101-476,10/05/2005,diana.marques@hotmail.com
Gabriel Moreira,Professor,Viúvo,Masculino,Braga,Braga,979566256,"Largo de Pinto, S/N
5606-545 Amadora",2383-866,13/08/2000,gabriel.moreira@sapo.pt
Matias Henriques,Gestor de Projetos,Divorciado,Masculino,Castelo Branco,Oleiros,991447049,"Avenida Cardoso, 19
3275-827 Braga",5232-266,17/03/2005,matias.henriques@outlook.com
Constança Torres,Aposentado,Divorciado,Feminino,Lisboa,Vila Franca de Xira,911674137,"Largo de Melo, 51
1670-243 Paredes",5342-046,18/04/1947,constança.torres@yahoo.com
Soraia Ribeiro,Gestor de Projetos,Solteiro,Feminino,Braga,Esposende,968411539,"Praça Nádia Nogueira, 32
1911-919 Leiria",9009-659,25/08/1979,soraia.ribeiro@hotmail.com
Caetana Lourenço,Cozinheiro,Viúvo,Feminino,Coimbra,Mira,996870550,"Rua Rodrigo Amorim, 9
5410-895 Sintra",9935-096,21/02/1974,caetana.lourenço@sapo.pt
Adriana Azevedo,Arquiteto,Divorciado,Feminino,Vila Real,Chaves,931743019,"Av de Mendes, 6
7498-475 Bragança",5479-149,13/05/1997,adriana.azevedo@hotmail.com
António Figueiredo,Advogado,Viúvo,Masculino,Braga,Vila Nova de Famalicão,977205038,"Alameda do Bonjardim, 15
0649-836 Viseu",5453-331,28/06/1985,antónio.figueiredo@gmail.com
Paulo Alves,Farmacêutico,Viúvo,Masculino,Braga,Vizela,903686804,"Praça de Dom Fradique, 605
9950-985 Loulé",3862-788,09/02/1985,paulo.alves@yahoo.com
Inês Costa,Empregado de Limpeza,Solteiro,Feminino,Aveiro,Estarreja,937324869,"Largo de Pinheiro, 20
8190-331 Caldas da Rainha",9340-045,13/11/1988,inês.costa@yahoo.com
Emma Branco,Professor,Solteiro,Feminino,Aveiro,Ovar,942653228,"R. Marques, 2
9388-536 Porto Santo",9785-815,24/01/1989,emma.branco@sapo.pt
Vera Araújo,Rececionista,Solteiro,Feminino,Braga,Fafe,909809190,"Praça de Basílio Teles, S/N
0806-061 Santa Comba Dão",7264-578,12/01/1978,vera.araújo@hotmail.com
Alice Branco-Teixeira,Designer Gráfico,Solteiro,Feminino,Lisboa,Cascais,907693913,"Largo Neto, S/N
9382-859 Sines",7577-146,05/05/1967,alice.branco-teixeira@sapo.pt
Nicole Soares,Estudante,Divorciado,Feminino,Aveiro,Águeda,941893843,"Rua de Fonseca, S/N
1760-528 Torres Vedras",4374-019,01/02/2003,nicole.soares@yahoo.com
Inês Freitas,Farmacêutico,Solteiro,Feminino,Porto,Matosinhos,911338623,"Avenida Castro, 19
1741-195 Caniço",1433-271,18/12/1982,inês.freitas@sapo.pt
Larissa Neves,Farmacêutico,Casado,Feminino,Braga,Amares,982383097,"Rua Paris (Nascente), 3
1659-857 Fiães",3115-545,18/01/1995,larissa.neves@gmail.com
Rodrigo Pacheco-Pinho,Enfermeiro,Divorciado,Masculino,Viana do Castelo,Viana do Castelo,997813936,"Travessa Isabel Oliveira, 767
4855-330 Santa Maria da Feira",6420-614,27/04/1970,rodrigo.pacheco-pinho@outlook.com
Rúben Henriques,Analista de Dados,Viúvo,Masculino,Porto,Vila Nova de Gaia,943069369,"Avenida Monteiro, 32
8041-417 Pombal",4249-106,14/01/1969,rúben.henriques@hotmail.com
Gaspar Batista,Advogado,Casado,Masculino,Porto,Felgueiras,986441871,"R. Soares, 5
9536-234 Póvoa de Varzim",4382-028,17/08/1995,gaspar.batista@sapo.pt
Raquel Andrade,Motorista,Casado,Feminino,Braga,Guimarães,936366451,"Alameda Silva, 43
8036-000 Santo Tirso",8594-078,22/06/1991,raquel.andrade@yahoo.com
Fernando Jesus,Comerciante,Divorciado,Masculino,Aveiro,Albergaria-a-Velha,987802450,"Praça de Simões, S/N
3862-016 Ribeira Grande",3104-491,09/08/1971,fernando.jesus@yahoo.com
Matilde Leite,Analista de Dados,Casado,Feminino,Porto,Vila Nova de Gaia,958383108,"Alameda de Lourenço, 45
6913-170 Santo Tirso",6546-427,04/10/1992,matilde.leite@hotmail.com
Henrique Nascimento-Mota,Analista de Dados,Casado,Masculino,Braga,Guimarães,981015380,"Largo de Melo, 40
8273-892 Setúbal",1060-385,23/04/1989,henrique.nascimento-mota@outlook.com
Kyara de Marques,Engenheiro,Solteiro,Feminino,Aveiro,Oliveira de Azeméis,946590830,"Alameda de Matos, S/N
1212-267 Mangualde",0546-042,02/09/1978,kyara.marques@hotmail.com
Sandro Guerreiro,Arquiteto,Casado,Masculino,Coimbra,Figueira da Foz,923596406,"Travessa José Luís Nunes, S/N
5829-095 Paços de Ferreira",0944-038,03/08/1973,sandro.guerreiro@yahoo.com
Jéssica Pacheco,Aposentado,Viúvo,Feminino,Coimbra,Figueira da Foz,975365094,"R. Teixeira, 99
1363-876 Amarante",8842-014,13/10/1950,jéssica.pacheco@gmail.com
Enzo Almeida,Designer Gráfico,Viúvo,Masculino,Viana do Castelo,Arcos de Valdevez,964639339,"Praça Cruz, 98
6245-267 Praia da Vitória",8574-935,08/02/2003,enzo.almeida@sapo.pt
Fabiana Sá,Psicólogo,Divorciado,Feminino,Faro,Faro,943303050,"Av Renato Magalhães, S/N
9610-986 Pinhel",2106-446,24/03/1994,fabiana.sá@outlook.com
César Carvalho,Empregado de Limpeza,Solteiro,Masculino,Viana do Castelo,Ponte da Barca,903688782,"Alameda de Martins, 4
0803-346 Espinho",7665-769,19/03/2004,césar.carvalho@yahoo.com
Melissa Amorim,Carpinteiro,Casado,Feminino,Guarda,Trancoso,982248801,"Praça Assunção, 8
4570-330 Alcácer do Sal",5636-994,12/03/1981,melissa.amorim@hotmail.com
Filipe Matos,Gestor de Projetos,Solteiro,Masculino,Braga,Cabeceiras de Basto,905501097,"Avenida de Ramalde, 718
3499-879 São Salvador de Lordelo",3877-053,07/08/1991,filipe.matos@yahoo.com
Sérgio Leite,Professor,Solteiro,Masculino,Viana do Castelo,Caminha,981191291,"Praça de Cartes, 275
5699-986 Lagos",0584-666,28/02/1996,sérgio.leite@outlook.com
Letícia do Cunha,Médico,Divorciado,Feminino,Bragança,Mogadouro,931058207,"Largo de Cruz, 7
8174-655 Lisboa",4962-672,01/06/1973,letícia.cunha@gmail.com
Margarida Gaspar-Baptista,Professor,Viúvo,Feminino,Leiria,Leiria,986171747,"Alameda Valentim Valente, 2
3949-712 Barreiro",0188-680,20/05/1987,margarida.gaspar-baptista@hotmail.com
Sebastião Santos,Farmacêutico,Divorciado,Masculino,Beja,Vidigueira,965473214,"Av de Brito, 82
9876-092 Valpaços",9854-645,02/08/1983,sebastião.santos@outlook.com
Hugo Loureiro,Farmacêutico,Casado,Masculino,Viana do Castelo,Monção,980999508,"Avenida da Sé, 9
5750-433 Vila Real",6889-399,14/12/1985,hugo.loureiro@hotmail.com
Mia Gaspar,Agricultor,Casado,Feminino,Porto,Póvoa de Varzim,909630226,"R. da Pasteleira, 714
0849-573 Vila Real",7001-826,21/11/1998,mia.gaspar@gmail.com
Benedita-Ana Machado,Comerciante,Divorciado,Feminino,Braga,Vizela,976969603,"Largo Lourenço Correia, 2
4265-810 Estarreja",4705-610,16/05/1973,benedita-ana.machado@hotmail.com
Teresa Nascimento,Arquiteto,Casado,Feminino,Viana do Castelo,Valença,968590101,"Rua Gabriela Costa, 4
7119-815 Olhão",3081-343,08/01/1981,teresa.nascimento@gmail.com
Larissa Matias,Professor,Viúvo,Feminino,Braga,Fafe,941173873,"Alameda de Monteiro, 70
1460-119 Viseu",6510-999,14/10/1976,larissa.matias@gmail.com
Inês Tavares,Farmacêutico,Divorciado,Feminino,Porto,Vila Nova de Gaia,926653555,"Alameda de Lourenço, 86
5757-250 Mangualde",0475-709,19/05/1984,inês.tavares@outlook.com
Mariana Faria,Aposentado,Solteiro,Feminino,Braga,Esposende,973385360,"Av de Públia Hortênsia, 523
8288-010 Vila Franca de Xira",0431-476,14/05/1954,mariana.faria@sapo.pt
Mariana Rocha,Comerciante,Divorciado,Feminino,Porto,Porto,979304987,"Largo Paulo Ramos, 479
8160-300 Oliveira do Hospital",7069-412,19/10/1979,mariana.rocha@gmail.com
Emma Vicente,Designer Gráfico,Divorciado,Feminino,Braga,Esposende,904993119,"Travessa Denis Sousa, S/N
0042-882 Elvas",7044-094,26/05/2004,emma.vicente@yahoo.com
Kelly Loureiro,Gestor de Projetos,Divorciado,Feminino,Viana do Castelo,Ponte de Lima,900927003,"Praça de Henriques, 945
8600-948 Fiães",3362-573,24/01/2005,kelly.loureiro@yahoo.com
Jorge Paiva,Arquiteto,Casado,Masculino,Viseu,Sátão,948774244,"Alameda Azevedo, 24
7933-313 Ovar",0223-270,29/08/1986,jorge.paiva788@yahoo.com
Denis Nogueira,Analista de Dados,Divorciado,Masculino,Viana do Castelo,Ponte da Barca,982808096,"Avenida de Tavares, 3
0475-728 Bragança",7540-978,03/10/1980,denis.nogueira@gmail.com
Leandro Macedo,Carpinteiro,Viúvo,Masculino,Viseu,Carregal do Sal,944851704,"Avenida de Godim, 99
9068-671 Vizela",0409-552,09/02/1979,leandro.macedo@sapo.pt
Pedro Guerreiro,Rececionista,Solteiro,Masculino,Porto,Póvoa de Varzim,937030505,"Travessa Naiara Barbosa, 5
5289-513 Aveiro",0804-475,24/05/1971,pedro.guerreiro@gmail.com
Alice Lourenço,Analista de Dados,Casado,Feminino,Porto,Maia,910492672,"Praça Eduardo Anjos, 452
2790-084 Fátima",7841-140,02/09/2004,alice.lourenço@outlook.com
Tomás Lima,Cozinheiro,Divorciado,Masculino,Braga,Amares,966182692,"Avenida da Baleia, 75
7270-788 Elvas",5422-126,11/02/1980,tomás.lima@outlook.com
Íris Araújo,Programador,Divorciado,Feminino,Portalegre,Marvão,996097802,"Largo Mendes, 77
4646-347 Chaves",3305-936,02/02/1969,íris.araújo@hotmail.com
Salomé Simões,Programador,Casado,Feminino,Castelo Branco,Vila Velha de Ródão,922060297,"Travessa de Neto, 92
4256-146 Oliveira de Azeméis",3880-368,09/02/1980,salomé.simões@gmail.com
Álvaro Melo,Técnico de Marketing,Solteiro,Masculino,Bragança,Bragança,962662173,"Av de Moreira, 17
3215-509 Fiães",1514-557,27/03/1980,álvaro.melo@hotmail.com
Micael Nogueira,Arquiteto,Divorciado,Masculino,Braga,Barcelos,935373551,"Avenida de Teófilo Braga, 715
9459-442 Ermesinde",6841-219,21/06/1977,micael.nogueira@yahoo.com
Andreia Faria,Eletricista,Solteiro,Feminino,Setúbal,Sesimbra,931785934,"Avenida do Almirante Gago Coutinho, 9
1109-996 Funchal",6246-787,17/11/1997,andreia.faria@gmail.com
Ariana Sousa,Farmacêutico,Viúvo,Feminino,Beja,Ourique,943919128,"Travessa das Andorinhas, 74
4304-397 Valpaços",1750-400,24/05/2000,ariana.sousa@sapo.pt
Valentim Gonçalves-Mota,Carpinteiro,Solteiro,Masculino,Vila Real,Boticas,906410138,"Avenida de Araújo, 679
5166-532 Tarouca",4027-107,01/04/1983,valentim.gonçalves-mota@yahoo.com
Artur Cardoso,Cozinheiro,Divorciado,Masculino,Évora,Borba,915280252,"Travessa Kyara Fonseca, 64
1367-326 Porto",0567-699,29/12/1972,artur.cardoso@gmail.com
Mia Antunes,Médico,Casado,Feminino,Braga,Amares,986170950,"Largo de Teófilo Braga, 58
4487-673 Vila Nova de Santo André",2353-513,26/07/1966,mia.antunes@hotmail.com
Jéssica-Naiara Borges,Analista de Dados,Divorciado,Feminino,Braga,Vizela,979618911,"Alameda de Rodrigues, S/N
7697-706 Santiago do Cacém",5241-563,11/08/1987,jéssica-naiara.borges@outlook.com
Gustavo da Almeida,Professor,Divorciado,Masculino,Viana do Castelo,Melgaço,977297463,"R. Pereira, 810
2203-560 Loulé",6227-060,27/04/1968,gustavo.almeida@yahoo.com
Marcos Monteiro,Engenheiro,Divorciado,Masculino,Viana do Castelo,Vila Nova de Cerveira,914338110,"Av Lopes, 14
4075-232 Elvas",7474-858,18/01/1974,marcos.monteiro@sapo.pt
Renato Martins,Arquiteto,Viúvo,Masculino,Vila Real,Sabrosa,900364382,"Alameda de Costa, 773
4302-770 Seia",9115-247,16/03/2001,renato.martins@gmail.com
Valentina da Jesus,Estudante,Divorciado,Feminino,Viseu,Mangualde,965561958,"Largo Pupilos do Exército, S/N
2148-532 Estremoz",6866-510,14/04/2002,valentina.jesus@outlook.com
Tatiana-Nádia Correia,Técnico de Marketing,Divorciado,Feminino,Coimbra,Condeixa-a-Nova,908982597,"R. Abreu, 61
5839-880 Amarante",7967-754,25/01/1983,tatiana-nádia.correia@gmail.com
Nelson Alves,Técnico de Marketing,Divorciado,Masculino,Porto,Amarante,903915704,"Praça Filipe Baptista, 8
4879-155 Alcobaça",9705-833,05/05/1989,nelson.alves@hotmail.com
William Amorim,Motorista,Solteiro,Masculino,Braga,Vila Nova de Famalicão,901003214,"Travessa de Cintura Interna, 22
7392-695 Elvas",9719-448,27/12/1989,william.amorim@hotmail.com
Santiago da Marques,Advogado,Solteiro,Masculino,Braga,Barcelos,945235417,"Largo Gomes, S/N
5781-609 Mangualde",3210-897,08/01/1998,santiago.marques@yahoo.com
Letícia Pinho,Carpinteiro,Casado,Feminino,Coimbra,Montemor-o-Velho,977926941,"R. Benjamim Borges, 62
1277-698 Praia da Vitória",8176-130,06/09/1977,letícia.pinho@gmail.com
Valentim Barros-Simões,Analista de Dados,Solteiro,Masculino,Braga,Cabeceiras de Basto,988048956,"Alameda Noa Loureiro, 31
7231-959 Santarém",7743-039,28/01/1973,valentim.barros-simões@gmail.com
Ivan Nogueira,Engenheiro,Viúvo,Masculino,Vila Real,Valpaços,911722080,"Av de Mota, 4
3767-859 Serpa",0962-432,28/09/1976,ivan.nogueira@outlook.com
Guilherme Cruz,Técnico de Marketing,Solteiro,Masculino,Vila Real,Vila Real,969560447,"Av do Anjo, 978
3932-340 Lagos",5182-806,13/09/1965,guilherme.cruz@sapo.pt
Carlos Assunção,Técnico de Marketing,Divorciado,Masculino,Coimbra,Lousã,916657780,"Alameda de Coelho, 5
7943-891 Cartaxo",9697-123,31/08/1998,carlos.assunção@sapo.pt
Gonçalo Andrade,Técnico de Marketing,Casado,Masculino,Vila Real,Mondim de Basto,960478603,"Largo do Carvalhido, 7
0137-334 Montemor-o-Novo",5935-676,03/09/1978,gonçalo.andrade@hotmail.com
Jaime Torres,Engenheiro,Solteiro,Masculino,Braga,Celorico de Basto,927122218,"Largo Leal, 42
6284-000 Vila Franca de Xira",5162-846,18/10/2001,jaime.torres@sapo.pt
Ivan Leal,Rececionista,Viúvo,Masculino,Braga,Fafe,945673038,"Av Bianca Gonçalves, 3
3032-257 Marinha Grande",6142-481,08/04/1979,ivan.leal@yahoo.com
Soraia Vicente,Rececionista,Divorciado,Feminino,Aveiro,Ílhavo,931172758,"Travessa de Campos, S/N
0909-461 Estremoz",5944-430,04/07/1987,soraia.vicente@hotmail.com
Vitória Teixeira-Mendes,Carpinteiro,Viúvo,Feminino,Lisboa,Mafra,905642808,"Av de Fonseca, S/N
2215-692 Vila Nova de Santo André",8563-746,02/10/1983,vitória.teixeira-mendes@outlook.com
Diego Gomes,Advogado,Viúvo,Masculino,Braga,Cabeceiras de Basto,974226861,"Praça Nascimento, 59
8720-538 Póvoa de Varzim",6190-628,21/07/1996,diego.gomes@gmail.com
António de Leite,Engenheiro,Casado,Masculino,Porto,Póvoa de Varzim,979138190,"Praça de Batista, 55
9649-880 Lamego",5458-848,26/12/1998,antónio.leite@sapo.pt
Fernando Maia,Carpinteiro,Solteiro,Masculino,Porto,Valongo,967375990,"Av Manuel Neto, 691
4034-540 Aveiro",4814-202,14/04/1974,fernando.maia@outlook.com
Violeta Batista,Engenheiro,Casado,Feminino,Viana do Castelo,Viana do Castelo,979670843,"Av dos Melros, 13
4470-788 Macedo de Cavaleiros",3951-882,22/01/1971,violeta.batista@yahoo.com
Afonso Cardoso,Designer Gráfico,Viúvo,Masculino,Braga,Vizela,987285963,"Av Lopes, 8
8102-096 Ermesinde",1232-057,26/07/1985,afonso.cardoso@hotmail.com
Núria Monteiro,Técnico de Marketing,Casado,Feminino,Castelo Branco,Fundão,992972758,"Rua de Carneiro, 6
6644-907 Felgueiras",2565-458,13/07/1997,núria.monteiro@yahoo.com
